area_type,time_of_day,day_of_week,past_incidents,police_presence,lighting,crowd_density,risk_level
Public,Night,Weekday,9,Low,Good,High,1
Residential,Morning,Weekend,11,Low,Average,Low,1
Public,Night,Weekend,1,Medium,Average,Medium,0
Public,Morning,Weekend,9,High,Average,High,0
Residential,Night,Weekday,19,Medium,Average,High,1
Residential,Night,Weekend,0,High,Good,Low,0
Public,Morning,Weekend,3,High,Good,Medium,0
Commercial,Night,Weekend,12,Medium,Good,High,1
Public,Evening,Weekend,11,Medium,Poor,High,1
Public,Morning,Weekend,10,Medium,Average,High,0
Public,Evening,Weekday,9,Low,Good,High,0
Public,Morning,Weekend,14,High,Good,High,1
Residential,Night,Weekday,4,Low,Good,High,1
Public,Night,Weekend,16,High,Average,High,1
Commercial,Night,Weekend,4,High,Average,High,0
Residential,Morning,Weekend,1,Low,Average,High,0
Commercial,Evening,Weekday,8,Low,Good,High,0
Commercial,Evening,Weekday,5,High,Average,Medium,0
Commercial,Morning,Weekday,17,Medium,Good,Low,1
Commercial,Morning,Weekend,13,Medium,Poor,Low,1
Residential,Evening,Weekend,18,Medium,Average,Low,1
Residential,Evening,Weekday,13,Medium,Average,High,1
Commercial,Evening,Weekday,7,High,Good,Low,0
Commercial,Evening,Weekend,16,Medium,Average,High,1
Residential,Morning,Weekday,2,Medium,Average,Medium,0
Residential,Morning,Weekend,9,Medium,Good,Low,0
Residential,Night,Weekday,16,High,Good,Medium,1
Public,Evening,Weekday,10,Low,Good,Medium,0
Public,Night,Weekday,7,Medium,Poor,High,1
Public,Morning,Weekend,0,High,Good,Low,0
Commercial,Morning,Weekend,12,High,Average,Medium,1
Public,Night,Weekday,3,Medium,Poor,Low,1
Commercial,Evening,Weekend,6,Low,Good,Medium,0
Commercial,Evening,Weekend,13,Low,Poor,Medium,2
Public,Evening,Weekend,4,Low,Poor,High,1
Commercial,Evening,Weekend,10,High,Average,Low,0
Public,Night,Weekday,16,Medium,Poor,High,2
Public,Night,Weekend,4,Medium,Good,High,0
Residential,Morning,Weekend,19,High,Poor,High,1
Public,Evening,Weekday,2,Medium,Poor,High,0
Residential,Evening,Weekend,4,Medium,Average,High,0
Public,Evening,Weekend,14,Low,Average,Medium,1
Public,Night,Weekend,18,Medium,Good,Low,1
Residential,Evening,Weekday,15,Medium,Average,Low,1
